date,direction,pnl,outcome,reason,hour,dow,year,month,month_str
2020-01-09,short,-100.00000000000064,loss,sl,12,3,2020,2020-01,2020-01
2020-01-13,long,-99.99999999999496,loss,sl,2,0,2020,2020-01,2020-01
2020-01-14,long,-100.00000000000462,loss,sl,4,1,2020,2020-01,2020-01
2020-01-15,long,-100.00000000000193,loss,sl,4,2,2020,2020-01,2020-01
2020-01-16,long,-99.99999999999555,loss,sl,8,3,2020,2020-01,2020-01
2020-01-23,long,128.99675896838684,win,sl,8,3,2020,2020-01,2020-01
2020-01-29,long,177.706883604888,win,sl,7,2,2020,2020-01,2020-01
2020-01-30,long,81.11464015172088,win,sl,13,3,2020,2020-01,2020-01
2020-02-10,short,114.06594131334937,win,sl,19,0,2020,2020-02,2020-02
2020-02-11,long,-99.99999999999987,loss,sl,0,1,2020,2020-02,2020-02
2020-02-25,long,-99.99999999999916,loss,sl,3,1,2020,2020-02,2020-02
2020-02-26,long,152.71822169640873,win,sl,15,2,2020,2020-02,2020-02
2020-02-27,long,134.2701836806171,win,sl,10,3,2020,2020-02,2020-02
2020-03-03,short,-100.0000000000002,loss,sl,16,1,2020,2020-03,2020-03
2020-03-10,long,-99.99999999999785,loss,sl,9,1,2020,2020-03,2020-03
2020-03-10,short,103.49090063400996,win,sl,17,1,2020,2020-03,2020-03
2020-03-11,long,91.97935565503535,win,sl,1,2,2020,2020-03,2020-03
2020-03-12,long,107.77331201225553,win,sl,0,3,2020,2020-03,2020-03
2020-03-18,short,115.74971610214703,win,sl,0,2,2020,2020-03,2020-03
2020-03-23,short,-99.99999999999898,loss,sl,12,0,2020,2020-03,2020-03
2020-03-26,long,250.0,win,tp,2,3,2020,2020-03,2020-03
2020-03-30,long,98.69569762738753,win,sl,3,0,2020,2020-03,2020-03
2020-03-31,long,90.88682025868266,win,sl,1,1,2020,2020-03,2020-03
2020-04-02,long,136.02573453956956,win,sl,5,3,2020,2020-04,2020-04
2020-04-08,long,108.85028025112457,win,sl,3,2,2020,2020-04,2020-04
2020-04-20,long,-100.00000000000257,loss,sl,6,0,2020,2020-04,2020-04
2020-04-21,short,-100.000000000003,loss,sl,6,1,2020,2020-04,2020-04
2020-04-21,long,-99.99999999999795,loss,sl,9,1,2020,2020-04,2020-04
2020-04-22,long,-100.0000000000021,loss,sl,3,2,2020,2020-04,2020-04
2020-04-22,short,-100.00000000000261,loss,sl,7,2,2020,2020-04,2020-04
2020-05-04,long,-99.99999999999841,loss,sl,20,0,2020,2020-05,2020-05
2020-05-05,short,-100.00000000000135,loss,sl,2,1,2020,2020-05,2020-05
2020-05-05,long,-100.00000000000726,loss,sl,6,1,2020,2020-05,2020-05
2020-05-06,long,103.54592228618283,win,sl,4,2,2020,2020-05,2020-05
2020-05-06,short,250.0,win,tp,8,2,2020,2020-05,2020-05
2020-05-07,long,-100.00000000000027,loss,sl,2,3,2020,2020-05,2020-05
2020-05-11,long,-100.0000000000022,loss,sl,8,0,2020,2020-05,2020-05
2020-05-12,long,155.72912219316774,win,sl,12,1,2020,2020-05,2020-05
2020-05-18,long,130.62624945269368,win,sl,17,0,2020,2020-05,2020-05
2020-05-25,long,-100.0000000000021,loss,sl,2,0,2020,2020-05,2020-05
2020-05-26,long,-99.99999999999815,loss,sl,1,1,2020,2020-05,2020-05
2020-05-28,short,-99.99999999999856,loss,sl,9,3,2020,2020-05,2020-05
2020-05-28,long,-100.00000000000011,loss,sl,12,3,2020,2020-05,2020-05
2020-06-03,long,-100.00000000000229,loss,sl,0,2,2020,2020-06,2020-06
2020-06-08,short,250.0,win,tp,10,0,2020,2020-06,2020-06
