date,direction,session,pnl,outcome,reason,hour,dow,atr,level,strategy
2020-01-13,short,sr_bounce,250.0,win,tp,14,0,1.7144936620295204,1555.3335,S3_SR_Bounce
2020-01-14,long,sr_bounce,-99.99999999999716,loss,sl,11,1,1.7172662314556453,1544.905,S3_SR_Bounce
2020-01-15,long,sr_bounce,250.0,win,tp,13,2,1.5904623659543558,1547.02,S3_SR_Bounce
2020-01-21,long,sr_bounce,-100.00000000000304,loss,sl,10,1,2.0316740393497477,1554.1185,S3_SR_Bounce
2020-01-22,long,sr_bounce,-100.00000000000486,loss,sl,1,2,2.2647490338055185,1554.1185,S3_SR_Bounce
2020-01-23,long,sr_bounce,250.0,win,tp,10,3,1.6697439288093732,1554.1185,S3_SR_Bounce
2020-01-23,short,sr_bounce,250.0,win,tp,17,3,2.0156296945327328,1567.9264999999998,S3_SR_Bounce
2020-01-27,long,sr_bounce,86.12527772380207,win,sl,18,0,2.8765050634376026,1577.1734999999999,S3_SR_Bounce
2020-01-30,long,sr_bounce,81.11464015172088,win,sl,13,3,2.0067763871942113,1577.1734999999999,S3_SR_Bounce
2020-02-10,short,sr_bounce,129.57127989247346,win,sl,0,0,1.470473066890289,1574.1515,S3_SR_Bounce
2020-02-11,long,sr_bounce,-99.99999999999987,loss,sl,0,1,1.1252995358609057,1571.0585,S3_SR_Bounce
2020-02-25,long,sr_bounce,198.02560377079487,win,sl,6,1,4.9742547912623,1633.1815,S3_SR_Bounce
2020-02-26,long,sr_bounce,152.71822169640873,win,sl,15,2,5.320202682313821,1633.1815,S3_SR_Bounce
2020-03-03,short,sr_bounce,102.47058001337244,win,sl,18,1,6.798947543479491,1648.2749999999999,S3_SR_Bounce
2020-03-04,long,sr_bounce,122.39622828744913,win,sl,21,2,3.601376744814312,1635.0735,S3_SR_Bounce
2020-03-09,long,sr_bounce,96.01454843563147,win,sl,4,0,8.367854858839761,1657.5600000000002,S3_SR_Bounce
2020-03-10,long,sr_bounce,104.12932792252548,win,sl,9,1,4.061283074286392,1657.5600000000002,S3_SR_Bounce
2020-03-11,long,sr_bounce,91.97935565503535,win,sl,1,2,4.515857779741013,1657.5600000000002,S3_SR_Bounce
2020-03-12,long,sr_bounce,107.77331201225553,win,sl,0,3,4.194262086706326,1641.6119999999999,S3_SR_Bounce
2020-03-12,short,sr_bounce,250.0,win,tp,1,3,4.165927281820578,1650.2065000000002,S3_SR_Bounce
2020-03-18,short,sr_bounce,135.01218359483653,win,sl,10,2,7.791743248898244,1517.945,S3_SR_Bounce
2020-03-23,short,sr_bounce,-99.99999999999898,loss,sl,12,0,5.9085945966554085,1516.1635,S3_SR_Bounce
2020-03-24,short,sr_bounce,164.70003170177407,win,sl,23,1,10.273813748421524,1641.03,S3_SR_Bounce
2020-03-25,long,sr_bounce,250.0,win,tp,8,2,7.682926729045491,1596.917,S3_SR_Bounce
2020-03-26,long,sr_bounce,250.0,win,tp,2,3,7.688862676677713,1596.917,S3_SR_Bounce
2020-03-30,long,sr_bounce,98.69569762738753,win,sl,3,0,5.173195796798312,1614.4205,S3_SR_Bounce
2020-03-31,long,sr_bounce,90.88682025868266,win,sl,1,1,3.3796374541436727,1614.4205,S3_SR_Bounce
2020-04-01,short,sr_bounce,101.81274914650737,win,sl,22,2,5.602458204792236,1595.59,S3_SR_Bounce
2020-04-02,long,sr_bounce,136.02573453956956,win,sl,5,3,4.535416381520801,1583.945,S3_SR_Bounce
2020-04-02,short,sr_bounce,-99.99999999999899,loss,sl,11,3,4.374628309841727,1595.59,S3_SR_Bounce
2020-04-08,long,sr_bounce,81.53098677924639,win,sl,0,2,3.5488891469581216,1641.5800000000002,S3_SR_Bounce
2020-04-12,long,sr_bounce,-99.99999999999844,loss,sl,22,6,4.880505769835812,1676.211,S3_SR_Bounce
2020-04-14,long,sr_bounce,250.0,win,tp,7,1,3.7887592183275203,1710.3200000000002,S3_SR_Bounce
2020-04-15,long,sr_bounce,170.99451006752412,win,sl,7,2,4.1493970611833895,1708.135,S3_SR_Bounce
2020-04-16,long,sr_bounce,250.0,win,tp,4,3,3.362341572094186,1713.7715,S3_SR_Bounce
2020-04-20,long,sr_bounce,175.53686770231437,win,sl,0,0,4.321766433418387,1672.223,S3_SR_Bounce
2020-04-21,long,sr_bounce,-99.99999999999795,loss,sl,9,1,4.697330957638638,1672.223,S3_SR_Bounce
2020-04-23,long,sr_bounce,105.16432903051714,win,sl,0,3,3.1264567750979353,1709.71,S3_SR_Bounce
