date,direction,pnl,outcome,reason,hour,dow,year,month,level,atr
2020-01-06,long,-100.00000000000196,loss,sl,13,0,2020,2020-01,1574.285,2.643847918805653
2020-01-07,long,198.0984838567931,win,sl,5,1,2020,2020-01,1562.1935,2.154570628465365
2020-01-08,long,-100.00000000000043,loss,sl,8,2,2020,2020-01,1585.1100000000001,4.424752143955383
2020-01-08,long,-100.00000000000088,loss,sl,18,2,2020,2020-01,1559.1100000000001,4.489952396043651
2020-01-13,short,-99.99999999999774,loss,sl,11,0,2020,2020-01,1551.5885,1.7238013207004703
2020-01-13,long,102.17709780820854,win,sl,14,0,2020,2020-01,1548.185,1.9693748452911346
2020-01-14,long,250.0,win,tp,18,1,2020,2020-01,1542.6115,1.8535041846935816
2020-01-15,short,150.31387640628614,win,sl,6,2,2020,2020-01,1553.995,1.4108272348296969
2020-01-15,long,152.82927234541148,win,sl,6,2,2020,2020-01,1550.525,1.4683973888195343
2020-01-20,long,250.0,win,tp,11,0,2020,2020-01,1559.205,1.136597151196093
2020-01-20,long,250.0,win,tp,14,0,2020,2020-01,1559.205,0.969004350993599
2020-01-23,long,128.99675896838684,win,sl,8,3,2020,2020-01,1552.6985,1.639972279301868
2020-01-23,long,-99.99999999999947,loss,sl,19,3,2020,2020-01,1562.4935,2.2265774194199937
2020-01-27,long,-100.00000000000308,loss,sl,20,0,2020,2020-01,1581.04,2.6995811801552083
2020-01-27,long,-99.9999999999986,loss,sl,20,0,2020,2020-01,1581.04,2.553539667286977
2020-02-10,short,129.57127989247346,win,sl,0,0,2020,2020-02,1574.1515,1.470473066890289
2020-02-11,long,-99.99999999999125,loss,sl,0,1,2020,2020-02,1570.2,1.1299209975851308
2020-02-11,short,-99.99999999999795,loss,sl,9,1,2020,2020-02,1569.965,1.5246209458198647
2020-02-11,short,-99.99999999999265,loss,sl,9,1,2020,2020-02,1569.965,1.4984694496898747
2020-02-13,long,250.0,win,tp,7,3,2020,2020-02,1572.35,1.450501710327869
2020-03-05,long,137.87564031283085,win,sl,6,3,2020,2020-03,1637.0135,2.228242154478844
2020-03-05,long,85.03993521567837,win,sl,6,3,2020,2020-03,1638.5935,2.0405480821781867
2020-03-09,long,148.47297291570897,win,sl,6,0,2020,2020-03,1667.7064999999998,7.789711051337791
